        Предмет         Парта          Ряд     ID
0    Математика           1     Первый ряд     01
1    Английский           2     Второй ряд     02
2        Физика           3     Третий ряд     03
3           ОБЖ           4  Четвертый ряд     04
4   Информатика           5      Пятый ряд     05       Предмет Номер парты            Ряд  ID
0   Математика           1     Первый ряд  01
1   Английский           2     Второй ряд  02
2       Физика           3     Третий ряд  03
3          ОБЖ           4  Четвертый ряд  04
4  Информатика           5      Пятый ряд  05
       Предмет Номер парты            Ряд  ID
0   Математика           1     Первый ряд  01
1   Английский           2     Второй ряд  02
2       Физика           3     Третий ряд  03
3          ОБЖ           4  Четвертый ряд  04
4  Информатика           5      Пятый ряд  05
       Предмет Номер парты            Ряд  ID
0   Математика           1     Первый ряд  01
1   Английский           2     Второй ряд  02
2       Физика           3     Третий ряд  03
3          ОБЖ           4  Четвертый ряд  04
4  Информатика           5      Пятый ряд  05
